rebellion_NOUN	восстание_NOUN
product_NOUN	товар_NOUN
product_NOUN	продукция_NOUN
tool_NOUN	сервис_NOUN
threaten_VERB	угрожать_VERB
fall_NOUN	падение_NOUN
eat_VERB	есть_VERB
liberation_NOUN	освобождение_NOUN
victorian_ADJ	викторианский_ADJ
table_NOUN	столик_NOUN
worst_ADJ	худший_ADJ
sunk_VERB	потопить_VERB
lithuania_NOUN	литво_NOUN
boundary_NOUN	граница_NOUN
edit_NOUN	правка_NOUN
fun_NOUN	кайф_NOUN
improvement_NOUN	улучшение_NOUN
brazilian_ADJ	бразильский_ADJ
rock_NOUN	рок_NOUN
charter_NOUN	устав_NOUN
commercial_ADJ	коммерческий_ADJ
lie_VERB	врать_VERB
cattle_NOUN	скот_NOUN
defensive_ADJ	оборонительный_ADJ
clarke_NOUN	кларк_NOUN
delete_VERB	исключать_VERB
obviously_ADV	очевидно_ADV
request_NOUN	просьба_NOUN
particularly_ADV	особенно_ADV
service_NOUN	обслуживание_NOUN
criminal_ADJ	уголовный_ADJ
thompson_NOUN	томпсон_NOUN
estate_NOUN	поместье_NOUN
grid_NOUN	сетка_NOUN
she_PRON	она_PRON
fan_NOUN	поклонник_NOUN
heading_NOUN	заголовок_NOUN
law_NOUN	закон_NOUN
man_NOUN	человек_NOUN
crew_NOUN	экипаж_NOUN
virgin_NOUN	дева_NOUN
jew_NOUN	еврей_NOUN
forest_NOUN	лес_NOUN
establishment_NOUN	учреждение_NOUN
study_VERB	учиться_VERB
learn_VERB	учиться_VERB
autumn_NOUN	осень_NOUN
number_VERB	пронумеровать_VERB
flow_NOUN	поток_NOUN
episode_NOUN	эпизод_NOUN
legacy_NOUN	наследие_NOUN
order_VERB	приказывать_VERB
event_NOUN	мероприятие_NOUN
wall_NOUN	уоллар_NOUN
closely_ADV	тесно_ADV
poetry_NOUN	поэзия_NOUN
wright_NOUN	райт_NOUN
shah_NOUN	шах_NOUN
ron_NOUN	рон_NOUN
ensemble_NOUN	ансамбль_NOUN
score_VERB	забивать_VERB
conduct_NOUN	поведение_NOUN
lack_NOUN	недостаток_NOUN
economy_NOUN	экономия_NOUN
discovery_NOUN	открытие_NOUN
fee_NOUN	плата_NOUN
severe_ADJ	серьезный_ADJ
kate_NOUN	кейть_NOUN
delete_VERB	удалено_VERB
army_NOUN	армия_NOUN
work_NOUN	труд_NOUN
trouble_NOUN	беда_NOUN
brief_ADJ	краткий_ADJ
horse_NOUN	лошадь_NOUN
seem_VERB	казаться_VERB
appointment_NOUN	назначение_NOUN
item_NOUN	товар_NOUN
jurisdiction_NOUN	компетенция_NOUN
wellington_NOUN	веллингтон_NOUN
parameter_NOUN	параметр_NOUN
painter_NOUN	художник_NOUN
although_SCONJ	хотя_SCONJ
festival_NOUN	фестиваль_NOUN
chose_VERB	выбирать_VERB
right_ADV	верно_ADV
small_ADJ	малый_ADJ
sun_NOUN	сунуть_NOUN
food_NOUN	питание_NOUN
bat_NOUN	бить_NOUN
situation_NOUN	положение_NOUN
simple_ADJ	простой_ADJ
power_NOUN	мощность_NOUN
spirit_NOUN	дух_NOUN
initial_ADJ	первоначальный_ADJ
yard_NOUN	ярд_NOUN
alice_NOUN	алиса_NOUN
smaller_ADJ	меньший_ADJ
refer_VERB	ссылаться_VERB
construction_NOUN	конструкция_NOUN
origin_NOUN	происхождение_NOUN
manager_NOUN	менеджер_NOUN
selection_NOUN	подбор_NOUN
thread_NOUN	нитка_NOUN
commerce_NOUN	коммерция_NOUN
liu_NOUN	лять_NOUN
actual_ADJ	фактический_ADJ
fresh_ADJ	свежий_ADJ
dangerous_ADJ	опасный_ADJ
original_ADJ	первоначальный_ADJ
mention_VERB	упоминать_VERB
victim_NOUN	пострадавший_NOUN
begun_VERB	начинать_VERB
public_ADJ	публичный_ADJ
architectural_ADJ	архитектурный_ADJ
repair_NOUN	ремонт_NOUN
peter_NOUN	питер_NOUN
portion_NOUN	порция_NOUN
beautiful_ADJ	красивый_ADJ
assault_NOUN	атака_NOUN
discussion_NOUN	дискуссия_NOUN
incorrect_ADJ	неверный_ADJ
administrator_NOUN	администратор_NOUN
and_CCONJ	и_CCONJ
period_NOUN	период_NOUN
submission_NOUN	представление_NOUN
asia_NOUN	азие_NOUN
belief_NOUN	вера_NOUN
plant_NOUN	завод_NOUN
award_VERB	присуждать_VERB
activity_NOUN	действие_NOUN
technique_NOUN	метод_NOUN
warn_VERB	предупреждать_VERB
message_NOUN	послание_NOUN
class_NOUN	класс_NOUN
suddenly_ADV	вдруг_ADV
home_ADV	домой_ADV
completion_NOUN	завершение_NOUN
forward_ADV	вперед_ADV
wing_NOUN	крыло_NOUN
killer_NOUN	киллер_NOUN
fill_VERB	заполнять_VERB
request_VERB	просить_VERB
school_NOUN	школа_NOUN
output_NOUN	вывод_NOUN
date_NOUN	дата_NOUN
daughter_NOUN	дочь_NOUN
william_NOUN	вильямс_NOUN
legislative_ADJ	законодательный_ADJ
african_ADJ	африканский_ADJ
party_NOUN	вечеринка_NOUN
foot_NOUN	нога_NOUN
split_VERB	сплить_VERB
opposition_NOUN	оппозиция_NOUN
lake_NOUN	озеро_NOUN
sun_NOUN	воскресенье_NOUN
creative_ADJ	творческий_ADJ
without_ADP	без_ADP
begin_VERB	начинать_VERB
application_NOUN	приложение_NOUN
kid_NOUN	ребенок_NOUN
letter_NOUN	буква_NOUN
board_NOUN	совет_NOUN
woods_NOUN	лес_NOUN
customer_NOUN	клиент_NOUN
nomination_NOUN	номинация_NOUN
further_ADV	далее_ADV
prevent_VERB	предотвращать_VERB
permission_NOUN	разрешение_NOUN
wait_VERB	ждать_VERB
leaf_NOUN	лист_NOUN
ward_NOUN	уорд_NOUN
friend_NOUN	друг_NOUN
doctor_NOUN	доктор_NOUN
lane_NOUN	лэйн_NOUN
artistic_ADJ	художественный_ADJ
use_VERB	использовать_VERB
apparently_ADV	очевидно_ADV
tropical_ADJ	тропический_ADJ
match_NOUN	совпадение_NOUN
tampa_NOUN	тампе_NOUN
reader_NOUN	читатель_NOUN
water_NOUN	вода_NOUN
difference_NOUN	разногласие_NOUN
win_VERB	побеждать_VERB
nashville_NOUN	нэшвилла_NOUN
monster_NOUN	чудовище_NOUN
force_NOUN	усилие_NOUN
reach_NOUN	охват_NOUN
croatia_NOUN	хорватия_NOUN
current_ADJ	текущий_ADJ
professor_NOUN	профессор_NOUN
management_NOUN	руководство_NOUN
drum_NOUN	бочка_NOUN
hotel_NOUN	отель_NOUN
squad_NOUN	команда_NOUN
philip_NOUN	филипп_NOUN
demographic_NOUN	население_NOUN
television_NOUN	телевидение_NOUN
extra_ADJ	дополнительный_ADJ
jane_NOUN	джейн_NOUN
cross_NOUN	кросс_NOUN
meter_NOUN	метр_NOUN
feeling_NOUN	чувство_NOUN
opportunity_NOUN	возможность_NOUN
duty_NOUN	долг_NOUN
request_VERB	запрашивать_VERB
after_ADP	после_ADP
golf_NOUN	гольф_NOUN
party_NOUN	сторона_NOUN
convention_NOUN	конвенция_NOUN
philip_NOUN	филип_NOUN
scientist_NOUN	ученый_NOUN
pierre_NOUN	пьер_NOUN
encyclopedic_ADJ	энциклопедический_ADJ
ignore_VERB	игнорироваться_VERB
easier_ADJ	легкий_ADJ
sign_VERB	подписывать_VERB
status_NOUN	статус_NOUN
vega_NOUN	вегас_NOUN
raid_NOUN	рейд_NOUN
image_NOUN	картинка_NOUN
natural_ADJ	натуральный_ADJ
table_NOUN	таблица_NOUN
arm_NOUN	рука_NOUN
similarly_ADV	аналогично_ADV
spam_NOUN	спам_NOUN
casualty_NOUN	пострадавший_NOUN
chamber_NOUN	палата_NOUN
diseasis_NOUN	болезнь_NOUN
resolve_VERB	решать_VERB
barcelona_NOUN	барселон_NOUN
thailand_NOUN	таиланда_NOUN
franklin_NOUN	франклин_NOUN
josé_NOUN	хосе_NOUN
tour_NOUN	гастроль_NOUN
lord_NOUN	лорд_NOUN
raymond_NOUN	рэймонд_NOUN
issue_NOUN	вопрос_NOUN
stanford_NOUN	стэнфорд_NOUN
connect_NOUN	соединение_NOUN
robert_NOUN	робер_NOUN
nature_NOUN	характер_NOUN
grande_NOUN	гранде_NOUN
specifically_ADV	конкретно_ADV
often_ADV	часто_ADV
understanding_NOUN	взаимопонимание_NOUN
capacity_NOUN	емкость_NOUN
progressive_ADJ	прогрессивный_ADJ
however_ADV	однако_ADV
abuse_NOUN	злоупотребление_NOUN
fan_NOUN	фать_NOUN
belt_NOUN	пояс_NOUN
residence_NOUN	резиденция_NOUN
manila_NOUN	маниль_NOUN
commune_NOUN	коммуна_NOUN
louis_NOUN	людовик_NOUN
minor_ADJ	незначительный_ADJ
cylinder_NOUN	цилиндр_NOUN
union_NOUN	профсоюз_NOUN
roughly_ADV	приблизительно_ADV
time_NOUN	тайм_NOUN
library_NOUN	библиотека_NOUN
village_NOUN	деревня_NOUN
quality_NOUN	качество_NOUN
predecessor_NOUN	предшественник_NOUN
forever_ADV	навеки_ADV
appearance_NOUN	появление_NOUN
soon_ADV	вскоре_ADV
architecture_NOUN	архитектура_NOUN
junction_NOUN	перекрестка_NOUN
individual_ADJ	отдельный_ADJ
primary_ADJ	начальный_ADJ
redirect_VERB	перенаправлять_VERB
course_NOUN	курс_NOUN
vote_NOUN	голосование_NOUN
style_NOUN	стайлз_NOUN
decline_NOUN	упадок_NOUN
essay_NOUN	эссе_NOUN
lay_VERB	закладывать_VERB
stuart_NOUN	стюарт_NOUN
artwork_NOUN	оформление_NOUN
noise_NOUN	шум_NOUN
musician_NOUN	музыкант_NOUN
reconstruction_NOUN	восстановление_NOUN
service_NOUN	служба_NOUN
pay_VERB	оплачивать_VERB
save_VERB	сохранить_VERB
lead_VERB	ведущий_VERB
jersey_NOUN	джерси_NOUN
golden_ADJ	золотой_ADJ
manager_NOUN	руководитель_NOUN
check_VERB	проверить_VERB
murphy_NOUN	мёрфь_NOUN
amazon_NOUN	амазонка_NOUN
commander_NOUN	командующий_NOUN
know_VERB	знать_VERB
flood_NOUN	потоп_NOUN
erect_VERB	возвести_VERB
visual_ADJ	визуальный_ADJ
spanish_ADJ	испанский_ADJ
grow_VERB	вырастать_VERB
province_NOUN	провинция_NOUN
lincoln_NOUN	линкольн_NOUN
assistance_NOUN	помощь_NOUN
boy_NOUN	парень_NOUN
rank_NOUN	ранг_NOUN
security_NOUN	безопасность_NOUN
vice_NOUN	порок_NOUN
hammer_NOUN	молоток_NOUN
phase_NOUN	фаза_NOUN
visit_NOUN	посещение_NOUN
organisation_NOUN	организация_NOUN
shipping_NOUN	доставка_NOUN
argue_VERB	спорить_VERB
perfect_ADJ	идеальный_ADJ
move_VERB	переносить_VERB
reject_VERB	отклонять_VERB
leed_NOUN	лидс_NOUN
female_NOUN	женщина_NOUN
class_NOUN	занятие_NOUN
actively_ADV	активно_ADV
conflict_NOUN	конфликт_NOUN
role_NOUN	роль_NOUN
separate_VERB	разделять_VERB
cabinet_NOUN	шкаф_NOUN
pronounce_VERB	произносить_VERB
channel_NOUN	канал_NOUN
capacity_NOUN	вместимость_NOUN
legacy_NOUN	наследство_NOUN
sock_NOUN	носок_NOUN
operator_NOUN	оператор_NOUN
lawrence_NOUN	лоренс_NOUN
daniel_NOUN	дэниел_NOUN
garden_NOUN	гарден_NOUN
ride_NOUN	поездка_NOUN
flash_NOUN	флэш_NOUN
graphic_NOUN	график_NOUN
add_VERB	добавлять_VERB
compare_VERB	сравнивать_VERB
electricity_NOUN	электроэнергия_NOUN
claude_NOUN	клод_NOUN
numerous_ADJ	многочисленный_ADJ
energy_NOUN	энергетик_NOUN
weak_ADJ	слабый_ADJ
michel_NOUN	мишель_NOUN
middle_ADJ	ближний_ADJ
politician_NOUN	политик_NOUN
female_NOUN	самка_NOUN
support_NOUN	поддержка_NOUN
nationality_NOUN	национальность_NOUN
portuguese_NOUN	португалие_NOUN
entrance_NOUN	вход_NOUN
station_NOUN	вокзал_NOUN
fruit_NOUN	плод_NOUN
miguel_NOUN	мигель_NOUN
landing_NOUN	посадка_NOUN
revolution_NOUN	революция_NOUN
property_NOUN	свойство_NOUN
roughly_ADV	примерно_ADV
budget_NOUN	бюджет_NOUN
profit_NOUN	прибыль_NOUN
partially_ADV	частично_ADV
always_ADV	всегда_ADV
merchant_NOUN	торговец_NOUN
slovenia_NOUN	словение_NOUN
design_NOUN	проектирование_NOUN
secretary_NOUN	секретарь_NOUN
subject_NOUN	предмет_NOUN
fun_NOUN	веселье_NOUN
strip_NOUN	полоса_NOUN
arc_NOUN	арк_NOUN
camera_NOUN	фотоаппарат_NOUN
develop_VERB	развивать_VERB
basis_NOUN	основа_NOUN
cable_ADJ	кабельный_ADJ
deputy_NOUN	заместитель_NOUN
nichola_NOUN	николай_NOUN
occupation_NOUN	профессия_NOUN
stop_NOUN	остановка_NOUN
title_NOUN	заголовок_NOUN
really_ADV	реально_ADV
mount_NOUN	маунт_NOUN
additional_ADJ	дополнительный_ADJ
meet_VERB	встречать_VERB
construct_VERB	строить_VERB
dam_NOUN	плотина_NOUN
space_NOUN	космос_NOUN
vienna_NOUN	вена_NOUN
town_NOUN	городок_NOUN
slightly_ADV	незначительно_ADV
gay_NOUN	гей_NOUN
character_NOUN	характер_NOUN
conservative_ADJ	консервативный_ADJ
element_NOUN	элемент_NOUN
shipping_NOUN	судоходство_NOUN
nba_NOUN	нб_NOUN
development_NOUN	событие_NOUN
rate_VERB	оценивать_VERB
monday_NOUN	понедельник_NOUN
constant_ADJ	постоянный_ADJ
issue_NOUN	проблема_NOUN
makeup_NOUN	макияж_NOUN
improve_VERB	улучшаться_VERB
lesser_ADJ	меньший_ADJ
picture_NOUN	рисунок_NOUN
officer_NOUN	офицер_NOUN
hit_VERB	хит_VERB
look_VERB	смотреться_VERB
biological_ADJ	биологический_ADJ
bond_NOUN	бонд_NOUN
electric_ADJ	электрический_ADJ
latin_ADJ	латинский_ADJ
union_NOUN	союз_NOUN
der_NOUN	деревня_NOUN
han_NOUN	ханс_NOUN
madison_NOUN	мэдисон_NOUN
continent_NOUN	континент_NOUN
creek_NOUN	ручей_NOUN
call_NOUN	звонок_NOUN
different_ADJ	разный_ADJ
neutral_ADJ	нейтральный_ADJ
woods_NOUN	вудс_NOUN
actress_NOUN	актриса_NOUN
georgia_NOUN	джорджие_NOUN
diseasis_NOUN	заболевание_NOUN
mitchell_NOUN	митчел_NOUN
helicopter_NOUN	вертолет_NOUN
china_NOUN	китай_NOUN
base_VERB	основывать_VERB
commanded_VERB	повелевать_VERB
adventure_NOUN	приключение_NOUN
trinity_NOUN	троица_NOUN
max_NOUN	макс_NOUN
lane_NOUN	переулок_NOUN
meat_NOUN	мясо_NOUN
robert_NOUN	роберт_NOUN
car_NOUN	автомобиль_NOUN
florida_NOUN	флориде_NOUN
block_VERB	заблокировать_VERB
date_NOUN	финик_NOUN
detective_NOUN	детектив_NOUN
loan_NOUN	кредит_NOUN
zero_NOUN	нуль_NOUN
manuel_NOUN	мануэль_NOUN
transport_NOUN	транспорт_NOUN
chemistry_NOUN	химия_NOUN
pearl_NOUN	жемчужина_NOUN
asset_NOUN	актив_NOUN
stake_NOUN	ставка_NOUN
producer_NOUN	продюсер_NOUN
fire_VERB	уволить_VERB
financial_ADJ	финансовый_ADJ
swiss_NOUN	швейцария_NOUN
technology_NOUN	техника_NOUN
storm_NOUN	гроза_NOUN
detailed_ADJ	подробный_ADJ
death_NOUN	умирать_NOUN
american_ADJ	американский_ADJ
show_NOUN	показ_NOUN
presentation_NOUN	представление_NOUN
start_NOUN	начало_NOUN
demand_NOUN	спрос_NOUN
search_VERB	искать_VERB
paragraph_NOUN	пункт_NOUN
manufacturing_NOUN	изготовление_NOUN
assault_NOUN	штурм_NOUN
gear_NOUN	снаряжение_NOUN
land_VERB	приземляться_VERB
get_VERB	быть_VERB
time_NOUN	таймс_NOUN
muslim_NOUN	мусульманин_NOUN
harm_NOUN	вред_NOUN
kid_NOUN	парень_NOUN
painting_NOUN	рисование_NOUN
treaty_NOUN	договор_NOUN
whole_ADJ	целый_ADJ
combination_NOUN	сочетание_NOUN
ferry_NOUN	пар_NOUN
two_NUM	двое_NUM
criticism_NOUN	критика_NOUN
attorney_NOUN	адвокат_NOUN
agree_VERB	согласовывать_VERB
virus_NOUN	вирус_NOUN
lab_NOUN	лаборатория_NOUN
tail_NOUN	хвост_NOUN
clearly_ADV	явно_ADV
own_ADJ	собственный_ADJ
cemetery_NOUN	кладбище_NOUN
dancer_NOUN	танцовщица_NOUN
link_VERB	связывать_VERB
judgment_NOUN	суждение_NOUN
fleet_NOUN	флот_NOUN
possible_ADJ	возможный_ADJ
produce_VERB	производить_VERB
approximately_ADV	приблизительно_ADV
horn_NOUN	гудок_NOUN
sir_NOUN	середина_NOUN
see_VERB	смотреть_VERB
francis_NOUN	френсис_NOUN
race_NOUN	раса_NOUN
calendar_NOUN	календарь_NOUN
egyptian_ADJ	египетский_ADJ
consensus_NOUN	консенсус_NOUN
dictionary_NOUN	словарь_NOUN
declaration_NOUN	декларация_NOUN
travel_NOUN	поездка_NOUN
come_VERB	предстоять_VERB
neck_NOUN	шея_NOUN
formally_ADV	формально_ADV
interest_NOUN	интерес_NOUN
maritime_ADJ	морской_ADJ
age_NOUN	век_NOUN
seriously_ADV	серьезно_ADV
greek_ADJ	греческий_ADJ
investigation_NOUN	следствие_NOUN
palm_NOUN	пал_NOUN
battalion_NOUN	батальон_NOUN
athletic_NOUN	атлетика_NOUN
copy_NOUN	копия_NOUN
pitch_NOUN	подача_NOUN
battle_NOUN	сражение_NOUN
material_NOUN	материал_NOUN
height_NOUN	высота_NOUN
dating_NOUN	свидание_NOUN
interaction_NOUN	взаимодействие_NOUN
mile_NOUN	миля_NOUN
hotel_NOUN	гостиница_NOUN
anderson_NOUN	андерсон_NOUN
cousin_NOUN	кузина_NOUN
view_NOUN	вид_NOUN
perry_NOUN	перри_NOUN
expedition_NOUN	экспедиция_NOUN
benjamin_NOUN	бенджамин_NOUN
foundation_NOUN	основание_NOUN
auto_NOUN	авто_NOUN
temporarily_ADV	временно_ADV
server_NOUN	сервер_NOUN
distinction_NOUN	различие_NOUN
stat_NOUN	стить_NOUN
apparent_ADJ	очевидный_ADJ
label_NOUN	метка_NOUN
format_NOUN	формат_NOUN
cut_VERB	снимать_VERB
bishop_NOUN	слон_NOUN
experience_NOUN	опыт_NOUN
position_NOUN	должность_NOUN
case_NOUN	дело_NOUN
then_ADV	затем_ADV
fund_NOUN	средство_NOUN
cork_NOUN	корк_NOUN
s_VERB	петь_VERB
bus_NOUN	автобус_NOUN
reach_VERB	достигать_VERB
present_VERB	представлять_VERB
plan_VERB	запланировать_VERB
bowling_NOUN	боулинг_NOUN
killing_NOUN	убийство_NOUN
run_VERB	побежать_VERB
chain_NOUN	цепь_NOUN
feel_VERB	чувствовать_VERB
vocal_ADJ	голосовой_ADJ
advantage_NOUN	преимущество_NOUN
bar_NOUN	бар_NOUN
spend_VERB	проводить_VERB
gift_NOUN	дар_NOUN
develop_VERB	развивать_VERB
jonathan_NOUN	джонатана_NOUN
update_VERB	обновить_VERB
capital_NOUN	столица_NOUN
approximately_ADV	примерно_ADV
volunteer_NOUN	доброволец_NOUN
tower_NOUN	тауэр_NOUN
intelligence_NOUN	интеллект_NOUN
again_ADV	вновь_ADV
wolf_NOUN	вольф_NOUN
average_ADJ	средний_ADJ
enjoy_VERB	наслаждаться_VERB
singapore_NOUN	сингапурй_NOUN
margaret_NOUN	маргарита_NOUN
submit_VERB	представить_VERB
western_ADJ	западный_ADJ
finish_VERB	закончить_VERB
canal_NOUN	канал_NOUN
transition_NOUN	переход_NOUN
tags_NOUN	метка_NOUN
rural_ADJ	сельский_ADJ
brown_ADJ	коричневый_ADJ
competitor_NOUN	конкурент_NOUN
depict_VERB	изображать_VERB
programming_NOUN	программирование_NOUN
episcopal_ADJ	епископальный_ADJ
exercise_NOUN	упражнение_NOUN
monastery_NOUN	монастырь_NOUN
accusation_NOUN	обвинение_NOUN
gas_NOUN	бензин_NOUN
territorial_ADJ	территориальный_ADJ
call_VERB	звонить_VERB
awareness_NOUN	осведомленнодать_NOUN
funny_ADJ	смешной_ADJ
traditionally_ADV	традиционно_ADV
base_NOUN	база_NOUN
scott_NOUN	скот_NOUN
travel_NOUN	путешествие_NOUN
piece_NOUN	кусок_NOUN
respond_VERB	отвечать_VERB
road_NOUN	дорога_NOUN
investment_NOUN	инвестиция_NOUN
independently_ADV	независимо_ADV
dave_NOUN	дейв_NOUN
employ_VERB	занимать_VERB
violin_NOUN	скрипка_NOUN
mansion_NOUN	особняк_NOUN
aircraft_NOUN	авиация_NOUN
international_ADJ	международный_ADJ
mail_NOUN	почта_NOUN
manufacturer_NOUN	изготовитель_NOUN
mosque_NOUN	мечеть_NOUN
bosnia_NOUN	босние_NOUN
warrior_NOUN	воин_NOUN
fall_NOUN	осень_NOUN
manga_NOUN	манг_NOUN
these_DET	этот_DET
question_NOUN	вопрос_NOUN
australia_NOUN	австралия_NOUN
secretary_NOUN	секретарша_NOUN
warn_VERB	предупредить_VERB
connect_VERB	связывать_VERB
kick_NOUN	удар_NOUN
executive_ADJ	исполнительный_ADJ
substantial_ADJ	значительный_ADJ
truly_ADV	действительно_ADV
drama_NOUN	драма_NOUN
interpretation_NOUN	интерпретация_NOUN
luca_NOUN	люк_NOUN
longer_ADV	долго_ADV
spain_NOUN	испание_NOUN
compose_VERB	состоять_VERB
rate_VERB	оценить_VERB
wallace_NOUN	уоллес_NOUN
conspiracy_NOUN	сговор_NOUN
myself_PRON	себя_PRON
toronto_NOUN	торонто_NOUN
for_ADP	за_ADP
strong_ADJ	сильный_ADJ
march_NOUN	марш_NOUN
charge_NOUN	заряд_NOUN
manufacturer_NOUN	производитель_NOUN
rebel_NOUN	повстанец_NOUN
equal_ADJ	равный_ADJ
link_NOUN	линкать_NOUN
blank_ADJ	пустой_ADJ
symbol_NOUN	символ_NOUN
greatest_ADJ	великий_ADJ
segment_NOUN	сегмент_NOUN
four_NUM	четверо_NUM
positive_ADJ	позитивный_ADJ
condition_NOUN	состояние_NOUN
oil_NOUN	масло_NOUN
catherine_NOUN	катерина_NOUN
page_NOUN	страница_NOUN
exclusive_ADJ	исключительная_ADJ
historian_NOUN	историк_NOUN
vessel_NOUN	суд_NOUN
bill_NOUN	купюра_NOUN
crime_NOUN	преступление_NOUN
property_NOUN	имущество_NOUN
voter_NOUN	избиратель_NOUN
urban_ADJ	городской_ADJ
control_VERB	управлять_VERB
funny_ADJ	забавный_ADJ
look_VERB	искать_VERB
sister_NOUN	сестра_NOUN
rain_NOUN	дождь_NOUN
fifa_NOUN	фифа_NOUN
study_VERB	изучать_VERB
status_NOUN	состояние_NOUN
majority_NOUN	большинство_NOUN
division_NOUN	дивизия_NOUN
good_NOUN	груз_NOUN
clearer_ADJ	ясный_ADJ
learn_VERB	научаться_VERB
cruz_NOUN	крус_NOUN
start_VERB	начинаться_VERB
lane_NOUN	лейн_NOUN
accident_NOUN	случайность_NOUN
unsuccessful_ADJ	неудачный_ADJ
government_NOUN	правительство_NOUN
session_NOUN	заседание_NOUN
justice_NOUN	правосудие_NOUN
base_NOUN	основание_NOUN
artillery_NOUN	артиллерийский_NOUN
cloud_NOUN	облако_NOUN
balance_NOUN	баланс_NOUN
hear_NOUN	слух_NOUN
earlier_ADV	ранее_ADV
photo_NOUN	фотография_NOUN
court_NOUN	корт_NOUN
influential_ADJ	влиятельный_ADJ
injury_NOUN	ранение_NOUN
barry_NOUN	барри_NOUN
scholar_NOUN	ученый_NOUN
agreement_NOUN	соглашение_NOUN
steel_NOUN	сталь_NOUN
usually_ADV	обычно_ADV
hole_NOUN	дыра_NOUN
report_NOUN	доклад_NOUN
heaven_NOUN	небо_NOUN
gods_NOUN	бог_NOUN
amateur_NOUN	любитель_NOUN
confidence_NOUN	уверенность_NOUN
serving_NOUN	служение_NOUN
science_NOUN	наука_NOUN
labour_NOUN	труд_NOUN
faculty_NOUN	факультет_NOUN
effort_NOUN	усилие_NOUN
you_PRON	вы_PRON
specific_ADJ	конкретный_ADJ
display_NOUN	отображение_NOUN
jamaican_NOUN	ямаек_NOUN
client_NOUN	клиент_NOUN
frederick_ADJ	фридрий_ADJ
february_NOUN	февраль_NOUN
dick_NOUN	член_NOUN
body_NOUN	тело_NOUN
reserfe_NOUN	резерв_NOUN
price_NOUN	прайс_NOUN
preparation_NOUN	приготовление_NOUN
express_VERB	выражать_VERB
good_NOUN	товар_NOUN
fifteen_NUM	пятнадцать_NUM
supply_VERB	ставить_VERB
cash_NOUN	кэш_NOUN
sam_NOUN	сэм_NOUN
now_ADV	теперь_ADV
cross_NOUN	крест_NOUN
factory_NOUN	фабрика_NOUN
glass_NOUN	стакан_NOUN
launch_NOUN	запуск_NOUN
connection_NOUN	подключение_NOUN
palestine_NOUN	палестина_NOUN
emphasis_NOUN	акцент_NOUN
black_ADJ	черный_ADJ
pen_NOUN	перо_NOUN
prince_NOUN	принс_NOUN
column_NOUN	столбец_NOUN
snow_NOUN	сноу_NOUN
journey_NOUN	путешествие_NOUN
assume_VERB	предполагать_VERB
from_ADP	из_ADP
briefly_ADV	вкратце_ADV
execution_NOUN	казнь_NOUN
open_VERB	открываться_VERB
presidential_ADJ	президентский_ADJ
