boyfriend_NOUN	парень_NOUN
paste_VERB	вставить_VERB
dimension_NOUN	размер_NOUN
panel_NOUN	панель_NOUN
czechoslovakia_NOUN	чехословакия_NOUN
timothy_NOUN	тимоть_NOUN
carpenter_NOUN	карпентирать_NOUN
churchill_NOUN	черчилль_NOUN
monroe_NOUN	монро_NOUN
bench_NOUN	скамейка_NOUN
corridor_NOUN	коридор_NOUN
maharashtra_NOUN	махараштр_NOUN
detection_NOUN	выявление_NOUN
boom_NOUN	бум_NOUN
governorate_NOUN	мухафаза_NOUN
bunch_NOUN	кучка_NOUN
optical_ADJ	оптический_ADJ
syracuse_NOUN	сиракуз_NOUN
loading_NOUN	погрузка_NOUN
shelter_NOUN	приют_NOUN
holme_NOUN	холмс_NOUN
linguistic_ADJ	языковой_ADJ
martha_NOUN	март_NOUN
batman_NOUN	бэтмен_NOUN
teen_NOUN	подросток_NOUN
export_NOUN	экспорт_NOUN
collaborate_VERB	сотрудничать_VERB
nurse_NOUN	сестра_NOUN
invention_NOUN	изобретение_NOUN
duration_NOUN	продолжительность_NOUN
fraser_NOUN	фрейзер_NOUN
prevention_NOUN	профилактика_NOUN
greene_NOUN	грин_NOUN
apartment_NOUN	квартира_NOUN
pablo_NOUN	пабло_NOUN
ion_NOUN	ион_NOUN
lecturer_NOUN	лектор_NOUN
rhode_NOUN	роудс_NOUN
flag_NOUN	флаг_NOUN
ray_NOUN	луч_NOUN
edmund_NOUN	эдмунда_NOUN
infection_NOUN	инфекция_NOUN
accident_NOUN	дтп_NOUN
derek_NOUN	дерека_NOUN
collect_NOUN	сбор_NOUN
provider_NOUN	провайдер_NOUN
invitation_NOUN	приглашение_NOUN
like_VERB	понравиться_VERB
twentieth_NOUN	двадцатый_NOUN
muscle_NOUN	мускул_NOUN
ahmad_NOUN	ахмад_NOUN
striker_NOUN	нападающий_NOUN
dorothy_NOUN	дороть_NOUN
investigation_NOUN	расследование_NOUN
relatife_NOUN	родственник_NOUN
algeria_NOUN	алжироко_NOUN
latvia_NOUN	латвия_NOUN
empress_NOUN	императрица_NOUN
perception_NOUN	восприятие_NOUN
remark_NOUN	замечание_NOUN
potter_NOUN	поттер_NOUN
naple_NOUN	неаполь_NOUN
madagascar_NOUN	мадагаскар_NOUN
laser_NOUN	лазер_NOUN
bacteria_NOUN	бактерия_NOUN
cliff_NOUN	клифф_NOUN
render_VERB	выносить_VERB
correspondence_NOUN	корреспонденция_NOUN
response_NOUN	ответ_NOUN
cairo_NOUN	каир_NOUN
lang_NOUN	лэнгать_NOUN
cooking_NOUN	приготовление_NOUN
informal_ADJ	неформальный_ADJ
leon_NOUN	леон_NOUN
convention_NOUN	конвенция_NOUN
hypothesis_NOUN	гипотеза_NOUN
wal_NOUN	уолть_NOUN
favourite_ADJ	любимый_ADJ
deliberately_ADV	преднамеренно_ADV
acre_NOUN	акр_NOUN
cambodia_NOUN	камбодж_NOUN
sheep_NOUN	овца_NOUN
chip_NOUN	чип_NOUN
spot_NOUN	пятно_NOUN
fee_NOUN	сборы_NOUN
religion_NOUN	религия_NOUN
birth_NOUN	род_NOUN
cruise_NOUN	круз_NOUN
affiliate_NOUN	филиал_NOUN
mayor_NOUN	мэр_NOUN
servant_NOUN	слуга_NOUN
beetle_NOUN	жук_NOUN
bolivia_NOUN	боливие_NOUN
assassination_NOUN	убийство_NOUN
landmark_NOUN	достопримечательность_NOUN
explore_VERB	исследовать_VERB
manufacture_NOUN	изготовление_NOUN
withdrawal_NOUN	снятие_NOUN
sensitive_ADJ	чувствительный_ADJ
rescue_VERB	спасать_VERB
tube_NOUN	трубка_NOUN
diving_NOUN	погружение_NOUN
paste_VERB	вставлять_VERB
revolt_NOUN	бунт_NOUN
garcia_NOUN	гарсиа_NOUN
governance_NOUN	управление_NOUN
dozen_NOUN	десяток_NOUN
monica_NOUN	моника_NOUN
switch_VERB	поменяться_VERB
strictly_ADV	строго_ADV
jake_NOUN	джейк_NOUN
ace_NOUN	эйс_NOUN
troop_NOUN	войска_NOUN
deliberately_ADV	умышленно_ADV
accidentally_ADV	случайно_ADV
connor_NOUN	коннора_NOUN
revolt_NOUN	мятеж_NOUN
agreement_NOUN	соглашение_NOUN
correspondence_NOUN	переписка_NOUN
hood_NOUN	художественный_NOUN
toy_NOUN	игрушка_NOUN
prof_NOUN	профессор_NOUN
proximity_NOUN	близость_NOUN
nowhere_ADV	некуда_ADV
memory_NOUN	воспоминание_NOUN
duration_NOUN	длительность_NOUN
nose_NOUN	нос_NOUN
apply_VERB	применять_VERB
realm_NOUN	царство_NOUN
defender_NOUN	защитник_NOUN
fac_NOUN	квс_NOUN
mysterious_ADJ	загадочный_ADJ
squadron_NOUN	эскадрилья_NOUN
reserve_VERB	защищать_VERB
gallery_NOUN	галерея_NOUN
classic_NOUN	классика_NOUN
salmon_NOUN	лосось_NOUN
deer_NOUN	олень_NOUN
ending_NOUN	окончание_NOUN
aunt_NOUN	тетя_NOUN
kyle_NOUN	кайть_NOUN
misleading_NOUN	заблуждение_NOUN
eugene_NOUN	евгения_NOUN
bike_NOUN	велосипед_NOUN
bedford_NOUN	бедфорд_NOUN
slight_ADJ	незначительный_ADJ
savage_NOUN	дикарь_NOUN
luther_NOUN	лютирать_NOUN
edgar_NOUN	эдгар_NOUN
lon_NOUN	лон_NOUN
copy_VERB	скопировать_VERB
rachel_NOUN	рейчеловек_NOUN
brussel_NOUN	брюссель_NOUN
graph_NOUN	граф_NOUN
venus_NOUN	венера_NOUN
personalitie_NOUN	деятель_NOUN
mechanism_NOUN	механизм_NOUN
paradise_NOUN	рай_NOUN
rhine_NOUN	рейн_NOUN
unanimous_ADJ	единогласный_ADJ
bigger_ADJ	крупный_ADJ
pace_NOUN	темп_NOUN
dylan_NOUN	дилан_NOUN
arrangement_NOUN	договоренность_NOUN
bot_NOUN	бот_NOUN
garcia_NOUN	гарсия_NOUN
sin_NOUN	син_NOUN
ain_NOUN	айн_NOUN
prohibit_VERB	запрещать_VERB
cruise_NOUN	круиз_NOUN
equity_NOUN	справедливость_NOUN
sail_VERB	уплыть_VERB
extraordinary_ADJ	чрезвычайный_ADJ
clinic_NOUN	клиника_NOUN
magical_ADJ	волшебный_ADJ
puppet_NOUN	марионетка_NOUN
darkness_NOUN	тьма_NOUN
lighthouse_NOUN	маяк_NOUN
licensing_NOUN	лицензирование_NOUN
hopkin_NOUN	хопкинс_NOUN
promise_VERB	обещать_VERB
arrow_NOUN	стрелка_NOUN
hybrid_NOUN	гибрид_NOUN
barrier_NOUN	барьер_NOUN
ana_NOUN	ать_NOUN
insert_VERB	вставлять_VERB
biography_NOUN	биография_NOUN
quantity_NOUN	количество_NOUN
affiliation_NOUN	принадлежность_NOUN
grant_NOUN	субсидия_NOUN
pay_VERB	платить_VERB
builder_NOUN	строитель_NOUN
prevention_NOUN	предупреждение_NOUN
boyfriend_NOUN	бойфренд_NOUN
glenn_NOUN	гленна_NOUN
atla_NOUN	атлас_NOUN
tissue_NOUN	ткань_NOUN
tonight_NOUN	вечер_NOUN
mann_NOUN	манна_NOUN
crucial_ADJ	важный_ADJ
trick_NOUN	трюк_NOUN
sick_ADJ	больная_ADJ
nephew_NOUN	племянник_NOUN
shot_NOUN	выстрел_NOUN
probability_NOUN	вероятность_NOUN
charleston_NOUN	чарльстон_NOUN
semifinal_NOUN	полуфинал_NOUN
tanzania_NOUN	танзание_NOUN
discontinue_VERB	прекращать_VERB
eurovision_NOUN	конкурс_NOUN
throw_VERB	бросать_VERB
slovak_NOUN	словацкий_NOUN
explorer_NOUN	исследователь_NOUN
julia_NOUN	джулия_NOUN
tyler_NOUN	тайлер_NOUN
innocent_ADJ	невинный_ADJ
equity_NOUN	равенство_NOUN
module_NOUN	модуль_NOUN
collector_NOUN	коллекционер_NOUN
fight_NOUN	драка_NOUN
cairo_NOUN	каирокий_NOUN
paragraph_NOUN	пункт_NOUN
canterbury_NOUN	кентерберь_NOUN
repeat_VERB	повторить_VERB
lancaster_NOUN	ланкастирать_NOUN
agree_VERB	соглашаться_VERB
diversity_NOUN	разнообразие_NOUN
porter_NOUN	портер_NOUN
provision_NOUN	положение_NOUN
unofficial_ADJ	неофициальный_ADJ
diana_NOUN	диан_NOUN
camera_NOUN	камера_NOUN
myth_NOUN	миф_NOUN
opera_NOUN	опера_NOUN
tension_NOUN	напряжение_NOUN
grandmother_NOUN	бабушка_NOUN
transformation_NOUN	преобразование_NOUN
terror_NOUN	террор_NOUN
browser_NOUN	браузер_NOUN
jung_NOUN	чжон_NOUN
libya_NOUN	ливия_NOUN
rival_NOUN	соперник_NOUN
jump_NOUN	прыжок_NOUN
armie_NOUN	армия_NOUN
shelter_NOUN	укрытие_NOUN
burn_VERB	гореть_VERB
stefan_NOUN	стефан_NOUN
transport_VERB	перевозить_VERB
puppet_NOUN	кукла_NOUN
crater_NOUN	кратер_NOUN
gene_NOUN	ген_NOUN
integrity_NOUN	добросовестность_NOUN
webster_NOUN	вебстер_NOUN
walk_VERB	ходить_VERB
marion_NOUN	марион_NOUN
decrease_NOUN	уменьшение_NOUN
cornell_NOUN	корнелла_NOUN
feeding_NOUN	кормление_NOUN
pipe_NOUN	труба_NOUN
counsel_NOUN	адвокат_NOUN
fluid_NOUN	жидкость_NOUN
springfield_NOUN	спрингфилд_NOUN
wonderful_ADJ	чудесный_ADJ
barrel_NOUN	ствол_NOUN
supplement_NOUN	дополнение_NOUN
melody_NOUN	мелодь_NOUN
shelter_NOUN	жилье_NOUN
explain_VERB	объяснять_VERB
southampton_NOUN	аутгемптоть_NOUN
promise_VERB	пообещать_VERB
acclaim_VERB	признавать_VERB
licence_NOUN	лицензия_NOUN
short_NOUN	шорты_NOUN
tracking_NOUN	отслеживание_NOUN
cry_VERB	плакать_VERB
loyal_ADJ	верный_ADJ
haye_NOUN	хейс_NOUN
autobiography_NOUN	автобиография_NOUN
zone_NOUN	зона_NOUN
bit_NOUN	кусочек_NOUN
treasure_NOUN	клад_NOUN
stan_NOUN	стена_NOUN
maya_NOUN	майя_NOUN
bombardment_NOUN	бомбардировка_NOUN
chest_NOUN	сундук_NOUN
discrimination_NOUN	дискриминация_NOUN
vicinity_NOUN	окрестность_NOUN
pursuit_NOUN	преследование_NOUN
armament_NOUN	вооружение_NOUN
mature_ADJ	зрелый_ADJ
afghan_ADJ	афганский_ADJ
practice_VERB	практиковать_VERB
prove_VERB	доказывать_VERB
snake_NOUN	змея_NOUN
screenplay_NOUN	сценарий_NOUN
eurovision_NOUN	евровидений_NOUN
guide_VERB	управлять_VERB
bullet_NOUN	пуля_NOUN
baltic_ADJ	балтийский_ADJ
papua_NOUN	папуа_NOUN
lecturer_NOUN	преподаватель_NOUN
catholicism_NOUN	католицизм_NOUN
swing_NOUN	качели_NOUN
excess_NOUN	превышение_NOUN
lucy_NOUN	люси_NOUN
illustration_NOUN	иллюстрация_NOUN
admission_NOUN	допуск_NOUN
jackie_NOUN	джек_NOUN
coordinator_NOUN	координатор_NOUN
pollution_NOUN	загрязнение_NOUN
allegedly_ADV	предположительно_ADV
filmography_NOUN	фильмография_NOUN
plain_NOUN	равнина_NOUN
grant_NOUN	дотация_NOUN
plate_NOUN	тарелка_NOUN
float_VERB	плавать_VERB
comedian_NOUN	комик_NOUN
monarchy_NOUN	монархия_NOUN
collapse_VERB	рушиться_VERB
gibraltar_NOUN	гибралтара_NOUN
dragon_NOUN	дракон_NOUN
cruiser_NOUN	крейсер_NOUN
certification_NOUN	сертификация_NOUN
considerably_ADV	значительно_ADV
equation_NOUN	уравнение_NOUN
truck_NOUN	грузовик_NOUN
separately_ADV	раздельно_ADV
observation_NOUN	замечание_NOUN
point_VERB	указывать_VERB
steal_VERB	угнать_VERB
feminist_NOUN	феминистка_NOUN
employer_NOUN	работодатель_NOUN
rainfall_NOUN	осадки_NOUN
chest_NOUN	грудь_NOUN
hostile_NOUN	враждебность_NOUN
strike_VERB	поражать_VERB
patron_NOUN	патрон_NOUN
diary_NOUN	дневник_NOUN
guild_NOUN	гильдия_NOUN
deal_NOUN	сделка_NOUN
tenor_NOUN	тенор_NOUN
presenter_NOUN	ведущий_NOUN
adequate_ADJ	достаточный_ADJ
yeah_INTJ	ага_INTJ
moment_NOUN	мгновение_NOUN
publish_VERB	публиковать_VERB
atp_NOUN	спс_NOUN
caroline_NOUN	кэролайн_NOUN
executive_NOUN	руководитель_NOUN
consciousness_NOUN	сознание_NOUN
demon_NOUN	демон_NOUN
geoffrey_NOUN	джеффри_NOUN
critically_ADV	критически_ADV
publish_VERB	опубликовывать_VERB
butterfly_NOUN	бабочка_NOUN
salvador_NOUN	сальвадор_NOUN
rapper_NOUN	рэпер_NOUN
tribune_NOUN	трибуна_NOUN
defend_VERB	защищать_VERB
committee_NOUN	комитет_NOUN
static_NOUN	помехи_NOUN
preference_NOUN	предпочтение_NOUN
wei_INTJ	вэй_INTJ
consent_NOUN	согласие_NOUN
homer_NOUN	гомирать_NOUN
boris_NOUN	борис_NOUN
rivalry_NOUN	соперничество_NOUN
adequate_ADJ	адекватный_ADJ
carve_VERB	вырезать_VERB
prepare_VERB	приготавливаться_VERB
poster_NOUN	плакат_NOUN
finale_NOUN	финал_NOUN
setting_NOUN	настройка_NOUN
listen_VERB	слушать_VERB
introduce_VERB	представлять_VERB
coach_VERB	тренировать_VERB
reynold_NOUN	рейнольдс_NOUN
stan_NOUN	стэн_NOUN
gaelic_ADJ	гэльский_ADJ
distributor_NOUN	дистрибьютор_NOUN
exhibit_VERB	выставлять_VERB
trend_NOUN	тенденция_NOUN
inventor_NOUN	изобретатель_NOUN
chaos_NOUN	хаос_NOUN
bolivia_NOUN	боливии_NOUN
store_VERB	хранить_VERB
forget_VERB	забывать_VERB
wording_NOUN	формулировка_NOUN
girlfriend_NOUN	подружка_NOUN
secular_ADJ	светский_ADJ
girlfriend_NOUN	девушка_NOUN
latvia_NOUN	латвии_NOUN
console_NOUN	консоль_NOUN
adrian_ADJ	эдриена_ADJ
bailey_NOUN	бэйль_NOUN
skill_NOUN	мастерство_NOUN
personalitie_NOUN	личность_NOUN
acceptance_NOUN	признание_NOUN
observation_NOUN	наблюдение_NOUN
casey_NOUN	кэйси_NOUN
philippe_NOUN	филипп_NOUN
pound_NOUN	фунт_NOUN
substantially_ADV	существенно_ADV
climb_NOUN	восхождение_NOUN
lyon_NOUN	лион_NOUN
memphe_NOUN	мемфис_NOUN
stade_NOUN	стад_NOUN
educator_NOUN	воспитатель_NOUN
lecture_NOUN	лекция_NOUN
moderate_ADJ	умеренные_ADJ
separation_NOUN	разделение_NOUN
barely_ADV	едва_ADV
closest_ADJ	ближайший_ADJ
metre_NOUN	метр_NOUN
elimination_NOUN	ликвидация_NOUN
uncertain_ADJ	неопределять_ADJ
faction_NOUN	группировка_NOUN
diving_NOUN	дайвинг_NOUN
muscle_NOUN	мышца_NOUN
triangle_NOUN	треугольник_NOUN
thriller_NOUN	триллер_NOUN
kit_NOUN	кит_NOUN
boxer_NOUN	боксер_NOUN
sofia_NOUN	софия_NOUN
gather_VERB	собирать_VERB
derivative_NOUN	производная_NOUN
nobility_NOUN	благородство_NOUN
pump_NOUN	насос_NOUN
technological_ADJ	технологический_ADJ
tension_NOUN	напряженность_NOUN
description_NOUN	описание_NOUN
sociology_NOUN	социология_NOUN
demand_VERB	требовать_VERB
skill_NOUN	умение_NOUN
santo_NOUN	сантосать_NOUN
limestone_NOUN	известняк_NOUN
annies_NOUN	анний_NOUN
panther_NOUN	пантера_NOUN
bone_NOUN	кость_NOUN
berry_NOUN	берри_NOUN
mose_NOUN	мозес_NOUN
enzyme_NOUN	фермент_NOUN
auxiliary_NOUN	вспомогательный_NOUN
respect_ADJ	уважать_ADJ
rochester_NOUN	рочестер_NOUN
geneva_NOUN	женев_NOUN
evaluation_NOUN	оценка_NOUN
bach_NOUN	бах_NOUN
minneapolis_NOUN	миннеаполис_NOUN
check_VERB	проверять_VERB
terrain_NOUN	местность_NOUN
teenage_NOUN	подросток_NOUN
constructive_ADJ	конструктивный_ADJ
ruin_NOUN	руины_NOUN
karnataka_NOUN	карнатака_NOUN
technically_ADV	формально_ADV
hole_NOUN	дыра_NOUN
marion_NOUN	мэрион_NOUN
annies_NOUN	эннь_NOUN
migration_NOUN	миграция_NOUN
skill_NOUN	навык_NOUN
bassist_NOUN	басистый_NOUN
accident_NOUN	авария_NOUN
national_NOUN	гражданин_NOUN
michelle_NOUN	мишель_NOUN
monte_NOUN	монть_NOUN
prestigious_ADJ	престижный_ADJ
catalog_NOUN	каталог_NOUN
dot_NOUN	точка_NOUN
footage_NOUN	кадр_NOUN
adoption_NOUN	усыновление_NOUN
stamp_NOUN	марка_NOUN
absent_VERB	отсутствовать_VERB
richardson_NOUN	ричардсона_NOUN
stability_NOUN	стабильность_NOUN
naked_ADJ	голый_ADJ
capitol_NOUN	капитолий_NOUN
ahmad_NOUN	ахмед_NOUN
distant_ADJ	дальний_ADJ
equity_NOUN	равноправие_NOUN
audience_NOUN	аудитория_NOUN
julia_NOUN	юлить_NOUN
fairy_NOUN	фея_NOUN
viola_NOUN	виол_NOUN
equality_NOUN	равенство_NOUN
twin_NOUN	близнец_NOUN
tin_NOUN	тин_NOUN
